,User_id,First_Name,Last_Name,Address,Age,Gender,Rehabilitation,Pet_intimacy,category_name,Pet_Name,log_count,com_count,avg_loading,sum_duration,Zipcode,Country,Country_abbrev,Continent,User_satisfication
0,1,Jane,Bruen,"5272 Adela Overpass Suite 982
Rozellachester, MA 14374",28,1,2,0.4141414141414142,'Maltese',Barney,0.3333333333333333,0.3333333333333333,0.5269484161788403,0.26878727634194827,14374, United States,US,NA,3.5162389356880475
1,2,Eliseo,Trantow,"2506 Mertz Inlet
South Ezekielshire, OK 56215",12,1,1,0.11111111111111109,'Golden Retriever',Juliana,0.0,0.08333333333333333,1.0,0.0035785288270377713,56215, South Korea,KR,AS,3.708758559752596
2,3,Oceane,Walter,"9469 Frank Orchard Apt. 685
Lake Irmastad, ID 72714-2760",64,1,2,0.9090909090909091,'Bulldog',Sabrina,0.5,0.16666666666666666,0.52661798600771,0.2254473161033797,72714, United States,US,NA,4.004164826178806
3,4,Zack,Marvin,"982 Susan Manors
Port Amiya, UT 97043-2723",38,1,1,0.8585858585858586,'German Shepherd',Yasmine,0.6666666666666666,0.5833333333333334,0.5504150774063271,0.8314115308151094,97043, Ukraine,UA,EU,9.151313725919291
4,5,Marco,Kessler,"671 Troy Isle Suite 459
New Carriemouth, OK 61216",28,1,1,0.1818181818181818,'German Shepherd',Cristopher,0.25,0.5,0.821139372182675,0.045328031809145124,61216, South Korea,KR,AS,4.684269681237437
5,6,Buford,Gleichner,"0993 Hegmann Streets
Cristianview, OH 08101",70,1,1,0.9393939393939394,'Golden Retriever',Carmela,0.16666666666666666,0.25,0.5621698247904217,0.2337972166998012,08101, Lithuania,LT,EU,5.520085964316898
6,7,Rosie,Kshlerin,"74397 Ritchie Fort Apt. 512
West Raina, WI 06489-4197",60,1,1,0.3434343434343434,'Golden Retriever',Dannie,0.16666666666666666,0.0,0.5171701307442839,0.2914512922465209,06489, United States,US,NA,4.859742976498044
7,8,Kristopher,Toy,"8288 Bo Groves Apt. 830
Port Mosefort, NJ 68398-7737",65,2,2,0.26262626262626265,'Golden Retriever',Caterina,0.3333333333333333,0.25,0.5917943174169336,0.40755467196819084,68398, Brazil,BR,SA,3.901305934582626
8,9,Deondre,Blanda,"41790 Hessel Drives
West Darwinburgh, TN 78572",73,2,2,0.0707070707070707,'German Shepherd',Rosalyn,0.5833333333333334,0.5,0.5321883859913925,0.5594433399602387,78572, United States,US,NA,5.007335483206084
9,10,Kole,Willms,"2979 Christelle Rue Suite 339
Oceaneville, TN 94287-0436",72,1,1,0.8080808080808081,'Bulldog',Carolyne,0.0,0.3333333333333333,0.6653517449568606,0.1375745526838966,94287, Lithuania,LT,EU,4.857064097106589
12,13,Wilburn,Schneider,"39435 Leatha Stream Suite 351
Trinityhaven, MA 00820-4498",24,1,1,0.8080808080808081,'Golden Retriever',Maudie,0.5,0.3333333333333333,0.45226099904134465,0.526441351888668,00820, Finland,FI,EU,7.199440548010159
