,User_id,First_Name,Last_Name,Address,Age,Gender,Rehabilitation,Pet_intimacy,category_name,Pet_Name,log_count,com_count,avg_loading,sum_duration,Zipcode,Country,Country_abbrev,Continent
0,1,Jane,Bruen,"5272 Adela Overpass Suite 982
Rozellachester, MA 14374",28,1,2,4.2,'Maltese',Barney,5,5,2611.97,70.8,14374, United States,US,NA
1,2,Eliseo,Trantow,"2506 Mertz Inlet
South Ezekielshire, OK 56215",12,1,1,1.2,'Golden Retriever',Juliana,1,2,4931.2,4.1,56215, South Korea,KR,AS
2,3,Oceane,Walter,"9469 Frank Orchard Apt. 685
Lake Irmastad, ID 72714-2760",64,1,2,9.1,'Bulldog',Sabrina,7,3,2610.35,59.9,72714, United States,US,NA
3,4,Zack,Marvin,"982 Susan Manors
Port Amiya, UT 97043-2723",38,1,1,8.6,'German Shepherd',Yasmine,9,8,2727.02,212.3,97043, Ukraine,UA,EU
4,5,Marco,Kessler,"671 Troy Isle Suite 459
New Carriemouth, OK 61216",28,1,1,1.9,'German Shepherd',Cristopher,4,7,4054.3,14.6,61216, South Korea,KR,AS
5,6,Buford,Gleichner,"0993 Hegmann Streets
Cristianview, OH 08101",70,1,1,9.4,'Golden Retriever',Carmela,3,4,2784.65,62.0,08101, Lithuania,LT,EU
6,7,Rosie,Kshlerin,"74397 Ritchie Fort Apt. 512
West Raina, WI 06489-4197",60,1,1,3.5,'Golden Retriever',Dannie,3,1,2564.03,76.5,06489, United States,US,NA
7,8,Kristopher,Toy,"8288 Bo Groves Apt. 830
Port Mosefort, NJ 68398-7737",65,2,2,2.7,'Golden Retriever',Caterina,5,4,2929.89,105.7,68398, Brazil,BR,SA
8,9,Deondre,Blanda,"41790 Hessel Drives
West Darwinburgh, TN 78572",73,2,2,0.8,'German Shepherd',Rosalyn,8,7,2637.66,143.9,78572, United States,US,NA
9,10,Kole,Willms,"2979 Christelle Rue Suite 339
Oceaneville, TN 94287-0436",72,1,1,8.1,'Bulldog',Carolyne,1,5,3290.52,37.8,94287, Lithuania,LT,EU
12,13,Wilburn,Schneider,"39435 Leatha Stream Suite 351
Trinityhaven, MA 00820-4498",24,1,1,8.1,'Golden Retriever',Maudie,7,5,2245.8,135.6,00820, Finland,FI,EU
13,14,Presley,Rogahn,"478 Keven Isle
Litzyfort, HI 08272-8020",50,1,2,2.8,'Golden Retriever',Warren,9,2,2527.75,120.6,08272, Spain,ES,EU
14,15,Nelda,Farrell,"51678 Diamond Squares
O'Harashire, SD 42801",21,2,2,2.5,'Golden Retriever',Easton,4,7,2300.22,107.5,42801, South Korea,KR,AS
15,16,Talia,McCullough,"646 Schimmel Junctions
Arjunburgh, NY 06380-5230",78,2,2,2.5,'German Shepherd',Rodolfo,9,8,2185.72,176.8,06380, United States,US,NA
16,17,Scotty,Heaney,"457 Sven Valleys
Monicachester, NE 42037",23,2,1,0.1,'Shi-ba-inu',Vince,5,5,2650.66,43.8,42037, South Korea,KR,AS
17,18,Lavon,Hansen,"666 Alfreda Parkways Apt. 700
Krisfort, MD 68747",16,2,1,1.0,'Golden Retriever',Rahul,2,5,1601.41,43.4,68747, United States,US,NA
19,20,Murray,Waters,"104 Rippin Plains Apt. 037
South London, AZ 92044",75,1,1,3.0,'Shi-ba-inu',Xavier,7,3,2694.2,152.4,92044, France,FR,EU
20,21,Perry,Zulauf,"8253 Misael Ports
North Ronny, MT 75336",53,1,1,4.0,'Shi-ba-inu',Ezekiel,5,8,2967.26,84.0,75336, Poland,PL,EU
21,22,Green,Metz,"505 O'Kon Estates Apt. 000
Raphaellemouth, WY 67511-3135",64,1,2,7.6,'Shi-ba-inu',Jevon,3,4,2030.49,61.5,67511, Estonia,EE,EU
22,23,Royal,Bahringer,"8334 Precious Mall
Denaview, NC 67991",81,1,1,8.1,'Maltese',Tina,4,5,2323.94,78.0,67991, Argentina,AR,SA
23,24,Alec,Stroman,"5024 Jordi Passage
Maeganview, VT 17900-6595",71,1,1,7.1,'Shi-ba-inu',Bettie,7,7,2770.39,89.2,17900, South Korea,KR,AS
24,25,Wilburn,Spinka,"78456 Schoen Way
North Norrisstad, WY 80355",29,2,1,1.4,'Bulldog',Velva,6,4,2741.63,106.2,80355, Ukraine,UA,EU
26,27,Simone,Hermann,"55871 Grady Views
New Horace, AL 26489",57,2,2,9.3,'German Shepherd',Archibald,6,9,2801.05,77.5,26489, South Korea,KR,AS
27,28,Barney,Hahn,"858 Grimes Mountain
New Rosamond, HI 27867",61,1,1,0.1,'Maltese',Carlee,4,6,2540.12,75.8,27867, Spain,ES,EU
28,29,Ari,Roob,"83351 Will Lane Apt. 334
Juliusside, AR 03473-5869",82,1,2,5.9,'German Shepherd',Gussie,6,6,2511.27,93.0,03473, Poland,PL,EU
29,30,Janae,Adams,"735 McDermott Row
Matildeland, CT 28480",53,2,2,1.4,'Golden Retriever',Cecilia,8,4,2690.1,122.0,28480, France,FR,EU
30,31,Judd,White,"719 Kaya Walks
West Keira, SD 12940",68,2,1,0.9,'Bulldog',Jaiden,5,3,2518.25,106.3,12940, Mexico,MX,NA
31,32,Gia,Pfeffer,"1951 Jammie Green Apt. 725
New Cathrine, NM 06637-8914",47,2,1,4.0,'Maltese',Destinee,6,4,2817.73,92.3,06637, South Korea,KR,AS
32,33,Odessa,Herzog,"995 Hermann Park
Isadoremouth, RI 11240",88,2,1,7.1,'Maltese',Valentine,5,5,2550.8,57.3,11240, France,FR,EU
33,34,Hector,Zulauf,"5487 Considine Skyway
South Aubree, TN 02066",72,1,2,5.1,'German Shepherd',Kyler,6,7,2408.96,136.8,02066, United States,US,NA
34,35,Cooper,Torp,"286 Thea Branch Apt. 678
Ankundington, ME 68589-1410",57,1,1,9.0,'Poodle',Marie,3,5,2863.2,14.2,68589, Brazil,BR,SA
35,36,Jewel,Gorczany,"398 Gutkowski Drive Suite 523
Marshallside, MD 44112",46,1,1,7.1,'German Shepherd',Eula,8,8,2234.33,124.0,44112, United States,US,NA
36,37,Fay,Schaden,"437 Roslyn Haven Suite 909
New Jalon, IA 41944-9690",34,1,1,4.0,'Shi-ba-inu',Carlie,1,3,685.7,4.8,41944, South Korea,KR,AS
37,38,Skylar,Yundt,"1800 Murphy Forges Suite 543
Schummberg, SD 98665-0154",85,1,1,0.6,'Poodle',Kareem,2,6,1762.37,21.2,98665, United States,US,NA
38,39,Catharine,McGlynn,"05502 Bernice Field
Port Gerhard, AK 03263-6000",31,2,2,1.5,'Bulldog',Preston,2,6,3192.26,30.8,03263, United States,US,NA
39,40,Gardner,Swaniawski,"33539 Holden Trail Apt. 696
Jastville, MO 37046",44,1,2,6.4,'Shi-ba-inu',Colin,2,4,1944.5,20.0,37046, Italy,IT,EU
40,41,Berry,Spencer,"446 Erdman Ridges Apt. 100
North Clementina, SD 86239-8523",90,1,2,5.1,'Poodle',Sonia,5,4,2926.2,78.8,86239, Canada,CA,NA
42,43,Easter,Dare,"371 Granville Spring
Consueloshire, HI 03107-2820",74,2,2,2.3,'Bulldog',Martina,8,7,2914.22,164.0,03107, Lithuania,LT,EU
43,44,Sanford,Howell,"6867 Suzanne Roads
Jerrellshire, CT 36716",16,2,1,3.1,'Maltese',Dolores,2,3,2772.99,50.2,36716, Russia,RU,EU
44,45,Cecelia,Gleason,"93350 Matilda Heights Apt. 222
New Jarrett, RI 62733",49,2,1,8.9,'German Shepherd',Jessie,4,5,2513.56,56.8,62733, Ukraine,UA,EU
45,46,Eleanore,Kutch,"9673 Reichert Curve
Melynamouth, MO 99749",78,2,1,8.3,'German Shepherd',Tatum,6,2,2553.42,114.6,99749, United States,US,NA
46,47,Allie,Hammes,"593 Williamson Springs Suite 840
West Violet, NV 79634-6381",33,2,2,3.6,'Golden Retriever',Norbert,4,9,2234.29,73.3,79634, Estonia,EE,EU
47,48,Art,Sanford,"71609 Aufderhar Parks
East Kaylah, FL 69256",14,1,2,0.2,'Bulldog',Jewell,6,4,2257.48,85.4,69256, Germany,DE,EU
48,49,Kadin,Kihn,"22780 Dessie Court Apt. 335
New Bradlyborough, DE 67243-1431",36,1,2,7.9,'Shi-ba-inu',Effie,2,8,2642.19,32.7,67243, Ukraine,UA,EU
49,50,Quinton,Rodriguez,"84335 Yundt Extensions
New Norwoodborough, ID 68015",51,1,1,1.5,'Shi-ba-inu',Angel,6,5,2253.74,172.6,68015, United States,US,NA
50,51,Lexie,Denesik,"5444 Hahn Lodge
D'Amorechester, MO 50558",85,2,2,9.0,'Poodle',Blair,3,9,3527.36,58.1,50558, South Korea,KR,AS
51,52,Alex,Hermiston,"1738 Lueilwitz Mall
Cordeliaborough, NM 53184",20,2,2,5.2,'Maltese',Jefferey,6,4,3042.21,98.1,53184, United States,US,NA
52,53,Letha,Bergstrom,"9589 Gutkowski Lock
Emmittberg, NE 48679",75,2,2,4.6,'Bulldog',Manuel,2,2,2969.72,28.9,48679, Argentina,AR,SA
53,54,Reese,Thiel,"49524 Karli Avenue Apt. 689
West Brain, NE 20714",54,2,2,1.7,'Bulldog',Bernice,4,1,2374.13,47.8,20714, United States,US,NA
54,55,Donnell,Cronin,"922 Julius Mall
Auerview, CA 32391",31,1,1,7.9,'Bulldog',Lavinia,8,5,2986.53,111.1,32391, United States,US,NA
55,56,Zane,Sipes,"32478 Watsica Union
Gottliebborough, IN 16768",37,1,2,9.1,'Poodle',Lauretta,3,6,2018.93,66.2,16768, United States,US,NA
56,57,Jadon,Altenwerth,"38668 Cruickshank Throughway
South Baylee, SD 02189",25,2,2,8.6,'Golden Retriever',Malvina,6,7,3052.25,104.7,02189, Lithuania,LT,EU
57,58,Bertrand,Quigley,"5125 Peggie Prairie Apt. 512
East Buster, AK 99223-5764",67,1,1,2.6,'Shi-ba-inu',Elissa,7,4,2928.25,99.5,99223, United States,US,NA
58,59,Morris,Johnston,"72773 Fae Passage
New Elwyntown, MI 00656",77,1,2,5.3,'Poodle',Ova,3,2,2788.57,29.1,00656, United States,US,NA
59,60,Cary,Bergstrom,"33827 Hintz Meadow
Moorefort, VA 88145",19,2,2,2.6,'Bulldog',Brisa,7,7,2352.72,113.5,88145, Germany,DE,EU
60,61,Vilma,Tromp,"69130 Freida Cliff
Jayfort, NY 68399",49,1,1,8.3,'German Shepherd',Haleigh,3,4,2471.48,16.5,68399, Brazil,BR,SA
